"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","new_flow"
"7837",2,1,1,1,2,111.06133074754,8.10726285753793e-05,0.421695074918825,49.2786239460257,1.69265857210703,"E",35.2866844746201
"7838",2,1,1,1,1,87.8339183625339,0.000129621035024296,2.01288788635202,49.2804593979073,1.69267474771656,"E",35.3863800477934
"7839",1,1,1,1,2,62.9125189037044,0.000252653810260873,4.4103516356419,49.2862844446908,1.69272607914092,"E",37.3626164345459
"7840",1,1,2,1,3,80.8061801347936,0.000153147829243978,2.25641343063005,49.2989093001428,1.69283731095737,"E",35.0721371865494
"7841",3,2,1,1,1,77.9902426008629,0.000164406679269472,4.23382781482809,49.3060216288889,1.69289996188373,"E",39.48163498485
"7842",1,2,1,3,3,111.548097674897,8.03666125885736e-05,0.464557464081944,49.3104874706586,1.69293929587469,"E",35.0912486103277
"7843",3,1,1,1,2,111.548097674897,8.03666125885736e-05,0.464557464081944,49.3104874706586,1.69293929587469,"E",35.0912486103277
"7844",1,2,1,2,2,88.0540923741763,0.000128973626090939,2.02600106996763,49.3123267690181,1.69295549490804,"E",35.3962211326367
"7845",3,1,1,2,1,88.0540923741763,0.000128973626090939,2.02600106996763,49.3123267690181,1.69295549490804,"E",35.3962211326367
"7846",1,1,2,1,2,58.7720269746535,0.000289506728342388,4.24802590234119,49.3145616123244,1.69297517676421,"E",35.5188703624174
"7847",1,1,1,1,3,91.3987000037225,0.000119707114579786,1.88801128563139,49.3179389793045,1.69300491892495,"E",35.4094041040226
"7848",3,2,1,3,3,85.3187261916893,0.00013737612892559,3.22081734322182,49.3241870199024,1.69305993577562,"E",36.8630984187875
"7849",1,1,2,2,3,77.1863901112566,0.000167848915583609,2.51541647038891,49.3328448961393,1.69313616081121,"E",34.907244336856
"7850",3,2,2,2,1,77.9044250968038,0.000164769091080793,3.26229986571384,49.336508125988,1.69316840832194,"E",36.3202517138791
"7851",3,2,2,1,1,71.4743066889522,0.000195749245751251,3.50780365070928,49.3435164449545,1.69323009607025,"E",35.994848556652
"7852",1,2,2,3,1,82.0513474066561,0.000148534919628247,3.89974466429317,49.3492261337628,1.69328034670228,"E",38.627030154987
"7853",2,1,2,1,1,82.0513474066561,0.000148534919628247,3.89974466429317,49.3492261337628,1.69328034670228,"E",38.627030154987
"7854",2,1,1,1,3,83.4003830606349,0.000143768555509109,3.24997770846137,49.3503895449321,1.69329058510184,"E",36.8150168908617
"7855",1,1,1,2,3,94.9693417092038,0.000110874875377046,1.62807837980642,49.367841989628,1.69344414337347,"E",35.3775638892963
"7856",1,1,2,1,2,64.11470880653,0.000243267813502043,3.66753599444455,49.3717677573009,1.69347867742202,"E",34.8892605190318
"7857",1,1,2,2,3,67.853543173844,0.000217197558400938,3.47952363269846,49.3767943250652,1.69352289093964,"E",35.2009911324864
"7858",1,2,1,2,3,83.5704135811298,0.000143184133975086,3.22744496796104,49.3824034656601,1.69357222343455,"E",36.7733376257917
"7859",3,1,1,1,3,83.5704135811298,0.000143184133975086,3.22744496796104,49.3824034656601,1.69357222343455,"E",36.7733376257917
"7860",2,1,1,1,1,92.6233444077476,0.000116562561719147,1.97602841084527,49.3975370279668,1.69370529544532,"E",35.4090579898385
"7861",2,1,1,2,2,82.8388768696235,0.00014572417182028,2.47717066497837,49.3985394115662,1.69371410813671,"E",35.4379862393837
