"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","flow_1","flow_2","new_flow"
"2716",4,1,1,2,1,64.0843479202626,0.000243498371391107,4.1006057624708,27.2469586352081,1.43531803242324,"C",56.3401723551465,44.3750228178532,50.3575975864998
"2717",3,2,1,1,1,76.1161578780383,0.000172602182728281,4.66760531762575,27.2469812780254,1.43531839333128,"C",57.7598650734737,35.557957129725,46.6589111015994
"2718",1,2,2,2,2,71.6205823224381,0.00019495047802064,4.57935914232798,27.2488072632642,1.43534749705965,"C",57.5682070080546,37.1689218752389,47.3685644416468
"2719",2,1,2,1,2,71.6205823224381,0.00019495047802064,4.57935914232798,27.2488072632642,1.43534749705965,"C",57.5682070080546,37.1689218752389,47.3685644416468
"2720",3,1,2,1,3,71.6205823224381,0.00019495047802064,4.57935914232798,27.2488072632642,1.43534749705965,"C",57.5682070080546,37.1689218752389,47.3685644416468
"2721",1,1,2,2,1,97.914420052739,0.000104305374841388,0.959301993443586,27.2570306946574,1.43547854323882,"C",52.9575819375211,27.4072039795172,40.1823929585191
"2722",4,2,1,3,3,70.2309685612488,0.000202741513522234,3.43246597867719,27.2649315711763,1.43560441204309,"C",57.427182762587,50.1022203897513,53.7647015761691
"2723",4,2,1,3,2,95.294837112467,0.000110118745686953,1.2555195809012,27.2690845744775,1.4356705588831,"C",54.0370926080337,33.7688493429831,43.9029709755084
"2724",4,1,2,1,3,77.3169978146822,0.000167282317142478,2.76966533736372,27.2806838829963,1.43585525318711,"C",57.7426551675612,50.7995144593762,54.2710848134687
"2725",3,2,1,1,2,106.545963805579,8.80898753261218e-05,1.54065087518098,27.2841638868945,1.4359106495294,"C",48.4294409518826,38.9558543239446,43.6926476379136
"2726",2,1,2,1,1,71.1371072559219,0.000197609399394011,3.96604651943878,27.29165398556,1.43602985648466,"C",57.5235227415959,45.9341049776327,51.7288138596143
"2727",4,1,1,1,3,86.8984225415429,0.000132426900506174,2.6709683305622,27.2941424449182,1.43606945375132,"C",56.5722438610599,50.478707756615,53.5254758088374
"2728",4,1,2,2,2,71.6172256651417,0.000194968752877664,3.57559262358907,27.2983670538646,1.4361366689929,"C",57.5679128912971,49.2999195300577,53.4339162106774
"2729",4,1,1,1,2,86.1408291214596,0.000134766486115852,2.30389915759983,27.3018658233091,1.43619232795936,"C",56.7316358472936,48.3196073614192,52.5256216043564
"2730",4,2,2,3,2,55.175619326444,0.000328477454619252,5.14369573198132,27.3092396484034,1.43630960855791,"C",53.4234516956283,25.348745254949,39.3860984752886
