"","Location","Peak_period","Gender","Hour","Month","Speed","inv speed","Density","Flow","log Flow","LOS","log_Speed","log_Density","inv_Speed","inv_Density","sq_Speed","sq_Density","New_Flow"
"37",1,2,1,3,2,81.6663042626998,0.000149938856765088,3.29651114583414,1.1031687694874,0.0426419585419106,"A",4.40264148426718,1.19286468067703,0.012244952297379,0.303351014378859,6669.38525192786,10.8669857346087,36.4577261659149
"38",3,1,1,3,2,81.6663042626998,0.000149938856765088,3.29651114583414,1.1031687694874,0.0426419585419106,"A",4.40264148426718,1.19286468067703,0.012244952297379,0.303351014378859,6669.38525192786,10.8669857346087,36.4577261659149
"39",1,2,1,2,3,94.7685502145868,0.000111345206864601,2.07464103059928,1.14794080255938,0.0599194927791311,"A",4.55143760542889,0.72978814141535,0.0105520238279015,0.482011097462553,8981.07810977466,4.30413540584604,34.9013996088185
"40",3,1,1,2,3,94.7685502145868,0.000111345206864601,2.07464103059928,1.14794080255938,0.0599194927791311,"A",4.55143760542889,0.72978814141535,0.0105520238279015,0.482011097462553,8981.07810977466,4.30413540584604,34.9013996088185
"41",2,1,1,1,2,82.0261439012877,0.000148626211882131,3.30328184942072,1.17211998694236,0.0689720715794347,"A",4.40703802451387,1.19491647410956,0.012191235043347,0.302729238855402,6728.28828331476,10.9116709767124,36.4765647133982
"42",2,1,1,3,3,88.0956832475169,0.000128851875300888,3.17203430657317,1.24597921667115,0.0955107982137498,"A",4.4784235334161,1.15437311915332,0.0113512939923556,0.315255102357429,7760.84940684683,10.0618016420771,36.1046226594068
"43",4,1,1,1,2,66.7903357825952,0.000224167550519521,4.07587918758618,1.2888272967332,0.110194725653761,"A",4.20155839616307,1.4050864749767,0.0149722259707607,0.245345839259829,4460.94895395182,16.6127911517982,37.3218354366831
"44",4,1,2,2,2,67.6150118078458,0.000218732714972387,4.0479200749551,1.30391521490377,0.1152493529783,"A",4.21383002655883,1.39820318746097,0.0147896151056201,0.247040450770534,4571.78982177513,16.3856569332245,37.4128229306592
"45",1,2,1,2,1,87.7797091146246,0.000129781182023754,3.12070761033953,1.31999794116762,0.120573253826881,"A",4.47483037045447,1.13805977429232,0.0113921544065973,0.320440145269233,7705.27733224811,9.73881598923106,36.0100897336613
"46",3,1,1,3,3,87.7797091146246,0.000129781182023754,3.12070761033953,1.31999794116762,0.120573253826881,"A",4.47483037045447,1.13805977429232,0.0113921544065973,0.320440145269233,7705.27733224811,9.73881598923106,36.0100897336613
"47",2,1,1,1,3,77.9512936148186,0.000164571014534039,3.59866140111359,1.33346639339143,0.124982074882608,"A",4.35608419080955,1.28056194329102,0.0128285234744315,0.277881103148675,6076.40417622366,12.9503638798648,37.171474281297
"48",2,1,1,2,2,87.6145319342767,0.000130270988826663,3.156042674749,1.40000527017732,0.146129670538681,"A",4.47294687384487,1.1493189246758,0.0114136317106635,0.316852496324223,7676.30620606239,9.96060536483682,36.0849165414005
"49",1,2,1,3,3,70.6716728670195,0.000200220829726994,3.44274251090424,1.40093421979932,0.146417743673454,"A",4.25804482595252,1.23626839529901,0.0141499409796294,0.29046610277495,4994.48534582302,11.8524759963872,35.9752595054736
"50",1,2,1,3,2,77.5179450194432,0.00016641616041935,3.60997481906117,1.40766846102097,0.148500380300563,"A",4.35050945819403,1.28370079699115,0.012900238773734,0.277010242486973,6009.03180003742,13.0319181942557,37.1841836029776
"51",3,1,1,1,3,77.5179450194432,0.00016641616041935,3.60997481906117,1.40766846102097,0.148500380300563,"A",4.35050945819403,1.28370079699115,0.012900238773734,0.277010242486973,6009.03180003742,13.0319181942557,37.1841836029776
"52",2,1,2,2,1,63.4125736285583,0.000248684799711883,4.35436225542216,1.4359665782714,0.157144331938858,"A",4.14966216399694,1.47117815995362,0.015769743172033,0.229654755700396,4021.15449419733,18.9604706514452,37.5297172335157
"53",2,1,1,1,3,71.1531459210713,0.000197520322973306,3.35830843323016,1.46926272792539,0.167099461607856,"A",4.2648345388932,1.21143740471437,0.0140541923628968,0.297768957164592,5062.77017446526,11.2782355327048,35.8350691442382
"54",2,1,1,3,3,92.5516066805887,0.000116743329493169,1.42564454587247,1.50660717944267,0.178000032647147,"A",4.52776639900484,0.354624024350934,0.0108047827138341,0.701437116913331,8565.79989915839,2.03246237117592,35.4322918367119
