"","Comment","Age","...3","Sex","Trap length (m)","Start time","Finish Time","Time (s)","(Mean Speed m/s)","(Mean Speed m/min)","Pedestrian Density (Peds/m2)","Pedestrian Density (Peds/m2) b","Pedestrian Flow (peds/m/s)","Pedestrian Flow (peds/m/min)"
"69",NA,"Adult",90,"F",4.2,44.587,48.338,3.751,1.11970141295655,67.1820847773927,5,0.396825396825397,36,48
"70",NA,"Adult",124,"F",4.2,55.576,59.328,3.752,1.11940298507463,67.1641791044776,5,0.396825396825397,40,53.3333333333333
"71",NA,"Adult",5,"M",4.2,43.177,46.427,3.25,1.29230769230769,77.5384615384615,4,0.317460317460317,17,22.6666666666667
"72",NA,"Adult",68,"M",4.2,31.692,34.193,2.501,1.67932826869252,100.759696121551,1,0.0793650793650794,30,40
"73",NA,"Adult",268,"F",4.2,22.937,25.936,2.999,1.40046682227409,84.0280093364455,3,0.238095238095238,44,58.6666666666667
"74",NA,"Adult",326,"M",4.2,30.208,32.959,2.751,1.52671755725191,91.6030534351143,2,0.158730158730159,29,38.6666666666667
"75",NA,"Adult",272,"F",4.2,24.897,29.147,4.25,0.988235294117647,59.2941176470588,6,0.476190476190476,44,58.6666666666667
"76",NA,"Adult",7,"M",4.2,6.176,8.674,2.498,1.68134507606085,100.880704563651,1,0.0793650793650794,17,22.6666666666667
"77",NA,"Adult",42,"M",4.2,9.589,12.342,2.753,1.52560842717036,91.5365056302216,2,0.158730158730159,28,37.3333333333333
"78",NA,"Adult",132,"M",4.2,11.264,14.266,3.002,1.39906728847435,83.944037308461,3,0.238095238095238,40,53.3333333333333
"79",NA,"Adult",320,"F",4.2,53.884,57.385,3.501,1.19965724078835,71.9794344473008,4,0.317460317460317,29,38.6666666666667
"80",NA,"Adult",32,"F",4.2,34.901,39.148,4.247,0.988933364728043,59.3360018836826,6,0.476190476190476,22,29.3333333333333
"81",NA,"Adult",249,"M",4.2,20.538,23.786,3.248,1.29310344827586,77.5862068965517,4,0.317460317460317,37,49.3333333333333
"82",NA,"Adult",317,"F",4.2,46.418,49.415,2.997,1.4014014014014,84.0840840840841,3,0.238095238095238,29,38.6666666666667
"83",NA,"Adult",378,"F",4.2,48.125,52.648,4.523,0.928587220871103,55.7152332522662,6,0.476190476190476,19,25.3333333333333
"84",NA,"Adult",318,"F",4.2,48.856,51.855,2.999,1.40046682227409,84.0280093364456,3,0.238095238095238,29,38.6666666666667
"85",NA,"Adult",334,"M",4.2,8.479,11.457,2.978,1.41034251175285,84.6205507051712,3,0.238095238095238,20,26.6666666666667
"86",NA,"Adult",3,"M",4.2,29.424,32.424,3,1.4,84,3,0.238095238095238,17,22.6666666666667
"87",NA,"Adult",18,"M",4.2,43.945,46.95,3.005,1.39767054908486,83.8602329450914,3,0.238095238095238,22,29.3333333333333
"88",NA,"Adult",135,"F",4.2,50.767,54.519,3.752,1.11940298507463,67.1641791044777,5,0.396825396825397,40,53.3333333333333
"89",NA,"Adult",250,"M",4.2,21.199,23.936,2.737,1.53452685421995,92.071611253197,2,0.158730158730159,37,49.3333333333333
"90",NA,"Adult",202,"M",4.2,26.303,30.785,4.482,0.937081659973226,56.2248995983936,6,0.476190476190476,35,46.6666666666667
"91",NA,"Adult",280,"M",4.2,35.372,38.378,3.006,1.39720558882236,83.8323353293413,3,0.238095238095238,44,58.6666666666667
