Walk_Speed,Sex,Walkway_width_category
60.54168879,Male,Entebbe
59.90541251,Male,Entebbe
57.07133917,Male,Entebbe
57.07133917,Male,Entebbe
57.02851426,Male,Entebbe
56.98575356,Male,Entebbe
101.2433393,Female,Entebbe
92.41994325,Female,Entebbe
91.82440596,Female,Entebbe
91.67671894,Female,Entebbe
91.41940658,Female,Entebbe
91.34615385,Female,Entebbe
91.30957149,Female,Entebbe
91.27301841,Female,Entebbe
91.27301841,Female,Entebbe
91.2364946,Female,Entebbe
91.2,Female,Entebbe
91.2,Female,Entebbe
91.2,Female,Entebbe
91.16353459,Female,Entebbe
90.40444092,Female,Entebbe
90.2970297,Female,Entebbe
87.92903972,Female,Entebbe
86.75799087,Female,Entebbe
86.52751423,Female,Entebbe
83.39429407,Female,Entebbe
83.33333333,Female,Entebbe
83.09037901,Female,Entebbe
82.99963597,Female,Entebbe
82.99963597,Female,Entebbe
82.99963597,Female,Entebbe
82.90909091,Female,Entebbe
82.90909091,Female,Entebbe
82.90909091,Female,Entebbe
82.87895311,Female,Entebbe
82.87895311,Female,Entebbe
82.84883721,Female,Entebbe
82.84883721,Female,Entebbe
82.81874319,Female,Entebbe
82.81874319,Female,Entebbe
82.81874319,Female,Entebbe
82.81874319,Female,Entebbe
82.81874319,Female,Entebbe
82.66860044,Female,Entebbe
82.22142084,Female,Entebbe
82.22142084,Female,Entebbe
81.95542775,Female,Entebbe
78.83817427,Female,Entebbe
76.81940701,Female,Entebbe
76.20320856,Female,Entebbe
76.17774808,Female,Entebbe
76.12687813,Female,Entebbe
76.12687813,Female,Entebbe
76.10146862,Female,Entebbe
76.07607608,Female,Entebbe
76.07607608,Female,Entebbe
76.07607608,Female,Entebbe
76.05070047,Female,Entebbe
76.05070047,Female,Entebbe
76.05070047,Female,Entebbe
76.02534178,Female,Entebbe
76.02534178,Female,Entebbe
76.02534178,Female,Entebbe
76,Female,Entebbe
76,Female,Entebbe
76,Female,Entebbe
75.97467511,Female,Entebbe
75.97467511,Female,Entebbe
75.97467511,Female,Entebbe
75.97467511,Female,Entebbe
75.97467511,Female,Entebbe
